order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,prev_temp,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,temp_conflict_real,non_pc_direct_switch_real
0030083730-000010,0030083730-000010,0030083730-000010,0030083730-000010,T1500HS,热成型钢,1540.0,1.4,782.5,24.0,400.0,2025-11-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,True,1,1,,,,,,False,False,False,False,False,False,1,1,1,1,1,小辊线,False,False,False,False
0030085365-000010,0030085365-000010,0030085365-000010,0030085365-000010,T1500HS,热成型钢,1507.0,1.4,782.5,24.0,52.0,2025-11-15,5.0小辊,small_only,1,overdue,0,small_roll,small_only,0.2,0.25263157894736843,0.25263157894736843,False,False,1,2,1540.0,1.4,热成型钢,782.5,33.0,False,False,False,False,False,False,2,2,2,2,2,小辊线,False,False,False,False
VIRTUAL-00001,,,,VIRTUAL_PC,PC,1500.0,1.6,790.0,20.0,0.0,,,,0,slack,3,small_roll,virtual,,,0.0,True,False,1,3,1507.0,1.4,热成型钢,782.5,7.0,False,False,False,True,False,False,3,3,3,3,3,小辊线,False,False,False,False
VIRTUAL-00002,,,,VIRTUAL_PC,PC,1500.0,1.8,800.0,20.0,0.0,,,,0,slack,3,small_roll,virtual,,,0.0,True,False,1,4,1500.0,1.6,PC,790.0,0.0,False,False,False,False,False,False,4,4,4,4,4,小辊线,False,False,False,False
0020050276-000030,0020050276-000030,0020050276-000030,0020050276-000030,DC01,普碳,1500.0,2.0,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,5,1500.0,1.8,PC,800.0,0.0,False,False,False,True,False,False,5,5,5,5,5,小辊线,False,False,False,False
0020050276-000080,0020050276-000080,0020050276-000080,0020050276-000080,DC01,普碳,1500.0,2.0,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,6,1500.0,2.0,普碳,810.0,0.0,False,False,False,False,False,False,6,6,6,6,6,小辊线,False,False,False,False
0020049981-000070,0020049981-000070,0020049981-000070,0020049981-000070,DC01,普碳,1500.0,2.0,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,7,1500.0,2.0,普碳,810.0,0.0,False,False,False,False,False,False,7,7,7,7,7,小辊线,False,False,False,False
0020050208-000090,0020050208-000090,0020050208-000090,0020050208-000090,DC01,普碳,1500.0,2.0,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,8,1500.0,2.0,普碳,810.0,0.0,False,False,False,False,False,False,8,8,8,8,8,小辊线,False,False,False,False
0020050208-000080,0020050208-000080,0020050208-000080,0020050208-000080,DC01,普碳,1500.0,1.95,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,9,1500.0,2.0,普碳,810.0,0.0,False,False,False,False,False,False,9,9,9,9,9,小辊线,False,False,False,False
0020049964-000110,0020049964-000110,0020049964-000110,0020049964-000110,DC01-D,普碳,1500.0,1.9,810.0,24.0,53.72,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,10,1500.0,1.95,普碳,810.0,0.0,False,False,False,False,False,False,10,10,10,10,10,小辊线,False,False,False,False
0020050208-000060,0020050208-000060,0020050208-000060,0020050208-000060,DC01,普碳,1500.0,1.8,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,11,1500.0,1.9,普碳,810.0,0.0,False,False,False,False,False,False,11,11,11,11,11,小辊线,False,False,False,False
0020050276-000070,0020050276-000070,0020050276-000070,0020050276-000070,DC01,普碳,1500.0,1.8,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,12,1500.0,1.8,普碳,810.0,0.0,False,False,False,False,False,False,12,12,12,12,12,小辊线,False,False,False,False
0020050276-000020,0020050276-000020,0020050276-000020,0020050276-000020,DC01,普碳,1500.0,1.8,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,13,1500.0,1.8,普碳,810.0,0.0,False,False,False,False,False,False,13,13,13,13,13,小辊线,False,False,False,False
0020049964-000100,0020049964-000100,0020049964-000100,0020049964-000100,DC01-D,普碳,1500.0,1.8,810.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,14,1500.0,1.8,普碳,810.0,0.0,False,False,False,False,False,False,14,14,14,14,14,小辊线,False,False,False,False
0020049964-000090,0020049964-000090,0020049964-000090,0020049964-000090,DC01-D,普碳,1500.0,1.75,810.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,15,1500.0,1.8,普碳,810.0,0.0,False,False,False,False,False,False,15,15,15,15,15,小辊线,False,False,False,False
0020049966-000080,0020049966-000080,0020049966-000080,0020049966-000080,DC01-D,普碳,1500.0,1.5,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,16,1500.0,1.75,普碳,810.0,0.0,False,False,False,False,False,False,16,16,16,16,16,小辊线,False,False,False,False
0020049983-000130,0020049983-000130,0020049983-000130,0020049983-000130,DC01,普碳,1500.0,1.5,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2,0.25263157894736843,0.25263157894736843,False,False,1,17,1500.0,1.5,普碳,810.0,0.0,False,False,False,False,False,False,17,17,17,17,17,小辊线,False,False,False,False
