order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,non_pc_direct_switch_real
0030084442-000090,0030084442-000090,0030084442-000090,0030084442-000090,HC340/590DP,DP,1764.0,1.8,25.5,60.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,1,,,,,False,False,False,False,False,False,1,1,1,1,1,大辊线,False,False,False
VIRTUAL-00001,,,,VIRTUAL_PC,PC,1758.5,1.5,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,2,1764.0,1.8,DP,5.5,False,False,False,True,False,False,2,2,2,2,2,大辊线,False,False,False
0030085385-000020,0030085385-000020,0030085385-000020,0030085385-000020,T280VK,DP,1753.0,1.2,25.5,120.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,3,1758.5,1.5,PC,5.5,False,False,False,True,False,False,3,3,3,3,3,大辊线,False,False,False
VIRTUAL-00002,,,,VIRTUAL_PC,PC,1742.5,1.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,4,1753.0,1.2,DP,10.5,False,False,False,True,False,False,4,4,4,4,4,大辊线,False,False,False
0030086469-000010,0030086469-000010,0030086469-000010,0030086469-000010,HC180Y,BH,1732.0,0.8,25.5,88.0,2025-10-25,大辊,big_only,3,overdue,0,big_roll,big_only,0.2361111111111111,0.2982456140350877,0.2361111111111111,False,False,1,5,1742.5,1.0,PC,10.5,False,False,False,True,False,False,5,5,5,5,5,大辊线,False,False,False
VIRTUAL-00003,,,,VIRTUAL_PC,PC,1658.0,1.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,6,1732.0,0.8,BH,74.0,False,False,False,True,False,False,6,6,6,6,6,大辊线,False,False,False
0030084781-000010,0030084781-000010,0030084781-000010,0030084781-000010,HC340/590DP,DP,1584.0,1.2,24.0,104.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,7,1658.0,1.0,PC,74.0,False,False,False,True,False,False,7,7,7,7,7,大辊线,False,False,False
VIRTUAL-00004,,,,VIRTUAL_PC,PC,1583.0,0.95,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,8,1584.0,1.2,DP,1.0,False,False,False,True,False,False,8,8,8,8,8,大辊线,False,False,False
0030085350-000130,0030085350-000130,0030085350-000130,0030085350-000130,HC180Y,BH,1582.0,0.7,24.0,52.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,9,1583.0,0.95,PC,1.0,False,False,False,True,False,False,9,9,9,9,9,大辊线,False,False,False
VIRTUAL-00005,,,,VIRTUAL_PC,PC,1500.0,1.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,10,1582.0,0.7,BH,82.0,False,False,True,True,False,False,10,10,10,10,10,大辊线,False,False,False
0030085644-000040,0030085644-000040,0030085644-000040,0030085644-000040,T280VK,DP,1500.0,0.8,24.0,88.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,11,1500.0,1.0,PC,0.0,False,False,False,True,False,False,11,11,11,11,11,大辊线,False,False,False
0030084505-000050,0030084505-000050,0030084505-000050,0030084505-000050,T280VK,DP,1442.0,0.7,24.0,52.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,12,1500.0,0.8,DP,58.0,False,False,False,False,False,False,12,12,12,12,12,大辊线,False,False,False
VIRTUAL-00006,,,,VIRTUAL_PC,PC,1441.0,0.7,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,13,1442.0,0.7,DP,1.0,False,False,False,True,False,False,13,13,13,13,13,大辊线,False,False,False
0030085176-000010,0030085176-000010,0030085176-000010,0030085176-000010,HC180Y,BH,1440.0,0.7,24.0,78.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,14,1441.0,0.7,PC,1.0,False,False,False,True,False,False,14,14,14,14,14,大辊线,False,False,False
VIRTUAL-00007,,,,VIRTUAL_PC,PC,1438.5,0.75,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,15,1440.0,0.7,BH,1.5,False,False,False,True,False,False,15,15,15,15,15,大辊线,False,False,False
0030084081-000050,0030084081-000050,0030084081-000050,0030084081-000050,HC340/590DP,DP,1437.0,0.8,24.0,78.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,16,1438.5,0.75,PC,1.5,False,False,False,True,False,False,16,16,16,16,16,大辊线,False,False,False
VIRTUAL-00008,,,,VIRTUAL_PC,PC,1436.2,1.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,17,1437.0,0.8,DP,0.7999999999999545,False,False,False,True,False,False,17,17,17,17,17,大辊线,False,False,False
VIRTUAL-00009,,,,VIRTUAL_PC,PC,1435.5,1.2,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,18,1436.2,1.0,PC,0.7000000000000455,False,False,False,False,False,False,18,18,18,18,18,大辊线,False,False,False
VIRTUAL-00010,,,,VIRTUAL_PC,PC,1434.8,1.4,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,19,1435.5,1.2,PC,0.7000000000000455,False,False,False,False,False,False,19,19,19,19,19,大辊线,False,False,False
0030084750-000020,0030084750-000020,0030084750-000020,0030084750-000020,HC340/590DP,DP,1434.0,1.6,24.0,104.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,20,1434.8,1.4,PC,0.7999999999999545,False,False,False,True,False,False,20,20,20,20,20,大辊线,False,False,False
VIRTUAL-00011,,,,VIRTUAL_PC,PC,1431.0,1.375,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,21,1434.0,1.6,DP,3.0,False,False,False,True,False,False,21,21,21,21,21,大辊线,False,False,False
VIRTUAL-00012,,,,VIRTUAL_PC,PC,1428.0,1.15,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,22,1431.0,1.375,PC,3.0,False,False,False,False,False,False,22,22,22,22,22,大辊线,False,False,False
VIRTUAL-00013,,,,VIRTUAL_PC,PC,1425.0,0.925,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,23,1428.0,1.15,PC,3.0,False,False,False,False,False,False,23,23,23,23,23,大辊线,False,False,False
0030085350-000120,0030085350-000120,0030085350-000120,0030085350-000120,HC180Y,BH,1422.0,0.7,24.0,104.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,24,1425.0,0.925,PC,3.0,False,False,False,True,False,False,24,24,24,24,24,大辊线,False,False,False
VIRTUAL-00014,,,,VIRTUAL_PC,PC,1400.0,1.6,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,25,1422.0,0.7,BH,22.0,False,False,True,True,False,False,25,25,25,25,25,大辊线,False,False,False
0030085350-000150,0030085350-000150,0030085350-000150,0030085350-000150,HC340/590DP,DP,1400.0,1.2,24.0,78.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,26,1400.0,1.6,PC,0.0,False,False,False,True,False,False,26,26,26,26,26,大辊线,False,False,False
0030085651-000030,0030085651-000030,0030085651-000030,0030085651-000030,HC340/590DP,DP,1400.0,1.2,24.0,88.0,2025-10-25,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,27,1400.0,1.2,DP,0.0,False,False,False,False,False,False,27,27,27,27,27,大辊线,False,False,False
VIRTUAL-00015,,,,VIRTUAL_PC,PC,1395.0,1.467,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,28,1400.0,1.2,DP,5.0,False,False,False,True,False,False,28,28,28,28,28,大辊线,False,False,False
VIRTUAL-00016,,,,VIRTUAL_PC,PC,1390.0,1.733,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,29,1395.0,1.467,PC,5.0,False,False,False,False,False,False,29,29,29,29,29,大辊线,False,False,False
0030082156-000450,0030082156-000450,0030082156-000450,0030082156-000450,HC340/590DP,DP,1385.0,2.0,24.0,78.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,30,1390.0,1.733,PC,5.0,False,False,False,True,False,False,30,30,30,30,30,大辊线,False,False,False
VIRTUAL-00017,,,,VIRTUAL_PC,PC,1372.5,1.6,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,31,1385.0,2.0,DP,12.5,False,False,False,True,False,False,31,31,31,31,31,大辊线,False,False,False
0030085175-000080,0030085175-000080,0030085175-000080,0030085175-000080,HC340/590DP,DP,1360.0,1.2,24.0,52.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,32,1372.5,1.6,PC,12.5,False,False,False,True,False,False,32,32,32,32,32,大辊线,False,False,False
0030084911-000010,0030084911-000010,0030084911-000010,0030084911-000010,HC340/590DP,DP,1360.0,1.0,24.0,52.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,33,1360.0,1.2,DP,0.0,False,False,False,False,False,False,33,33,33,33,33,大辊线,False,False,False
VIRTUAL-00018,,,,VIRTUAL_PC,PC,1358.8,1.25,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,34,1360.0,1.0,DP,1.2000000000000455,False,False,False,True,False,False,34,34,34,34,34,大辊线,False,False,False
VIRTUAL-00019,,,,VIRTUAL_PC,PC,1357.5,1.5,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,35,1358.8,1.25,PC,1.2999999999999545,False,False,False,False,False,False,35,35,35,35,35,大辊线,False,False,False
VIRTUAL-00020,,,,VIRTUAL_PC,PC,1356.2,1.75,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,36,1357.5,1.5,PC,1.2999999999999545,False,False,False,False,False,False,36,36,36,36,36,大辊线,False,False,False
0030082156-000440,0030082156-000440,0030082156-000440,0030082156-000440,HC340/590DP,DP,1355.0,2.0,24.0,78.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,37,1356.2,1.75,PC,1.2000000000000455,False,False,False,True,False,False,37,37,37,37,37,大辊线,False,False,False
VIRTUAL-00021,,,,VIRTUAL_PC,PC,1354.7,1.783,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,38,1355.0,2.0,DP,0.2999999999999545,False,False,False,True,False,False,38,38,38,38,38,大辊线,False,False,False
VIRTUAL-00022,,,,VIRTUAL_PC,PC,1354.3,1.567,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,39,1354.7,1.783,PC,0.40000000000009095,False,False,False,False,False,False,39,39,39,39,39,大辊线,False,False,False
VIRTUAL-00023,,,,VIRTUAL_PC,PC,1354.0,1.35,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,40,1354.3,1.567,PC,0.2999999999999545,False,False,False,False,False,False,40,40,40,40,40,大辊线,False,False,False
