order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,non_pc_direct_switch_real
60.0#M0291-L01,60.0,60.0,60.0-L01,HC340/590DP,DP,1784.0,4.5,25.5,60.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,1,,,,,False,False,False,False,False,False,1,1,1,1,1,大辊线,False,False,False
VIRTUAL-00001,,,,VIRTUAL_PC,PC,1769.0,3.25,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,2,1784.0,4.5,DP,15.0,False,False,False,True,False,False,2,2,2,2,0,大辊线,False,False,False
30.0#M0192-L01,30.0,30.0,30.0-L01,T210P1,加磷高强、烘烤硬化钢,1765.0,3.5,25.5,30.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,3,1769.0,3.25,PC,4.0,False,False,False,True,False,False,3,3,3,3,2,大辊线,False,False,False
VIRTUAL-00002,,,,VIRTUAL_PC,PC,1758.5,3.75,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,4,1765.0,3.5,加磷高强、烘烤硬化钢,6.5,False,False,False,True,False,False,4,4,4,4,0,大辊线,False,False,False
88.0#M0017-L01,88.0,88.0,88.0-L01,HC180Y,BH,1752.0,4.0,25.5,88.0,2025-10-25,大辊,big_only,3,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,5,1758.5,3.75,PC,6.5,False,False,False,True,False,False,5,5,5,5,3,大辊线,False,False,False
VIRTUAL-00003,,,,VIRTUAL_PC,PC,1751.0,4.5,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,6,1752.0,4.0,BH,1.0,False,False,False,True,False,False,6,6,6,6,0,大辊线,False,False,False
30.0#M0198-L01,30.0,30.0,30.0-L01,T210P1,加磷高强、烘烤硬化钢,1750.0,5.0,25.5,30.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,7,1751.0,4.5,PC,1.0,False,False,False,True,False,False,7,7,7,7,4,大辊线,False,False,False
VIRTUAL-00004,,,,VIRTUAL_PC,PC,1747.5,4.5,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,8,1750.0,5.0,加磷高强、烘烤硬化钢,2.5,False,False,False,True,False,False,8,8,8,8,0,大辊线,False,False,False
76.66#M0381-L01,76.66,76.66,76.66-L01,DC05,IF,1745.0,4.0,25.5,76.66,2025-10-31,大辊,big_only,2,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,9,1747.5,4.5,PC,2.5,False,False,False,True,False,False,9,9,9,9,5,大辊线,False,False,False
VIRTUAL-00005,,,,VIRTUAL_PC,PC,1688.0,4.5,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,10,1745.0,4.0,IF,57.0,False,False,False,True,False,False,10,10,10,10,0,大辊线,False,False,False
