order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,prev_temp,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,temp_conflict_real,non_pc_direct_switch_real
0030084442-000090,0030084442-000090,0030084442-000090,0030084442-000090,HC340/590DP,双相钢,1764.0,1.8,780.0,25.5,60.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,1,,,,,,False,False,False,False,False,False,1,1,1,1,1,大辊线,False,False,False,False
VIRTUAL-00001,,,,VIRTUAL_PC,PC,1500.0,1.2,800.0,20.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,2,1764.0,1.8,双相钢,780.0,264.0,False,True,True,True,False,True,2,2,2,2,2,大辊线,False,False,False,False
VIRTUAL-00002,,,,VIRTUAL_PC,PC,1500.0,1.5,810.0,20.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,3,1500.0,1.2,PC,800.0,0.0,False,False,False,False,False,False,3,3,3,3,3,大辊线,False,False,False,False
VIRTUAL-00003,,,,VIRTUAL_PC,PC,1500.0,1.7,810.0,20.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,4,1500.0,1.5,PC,810.0,0.0,False,False,False,False,False,False,4,4,4,4,4,大辊线,False,False,False,False
0030084050-000160,0030084050-000160,0030084050-000160,0030084050-000160,DC04,IF钢,1500.0,2.0,820.0,24.0,52.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,5,1500.0,1.7,PC,810.0,0.0,False,False,False,True,False,False,5,5,5,5,5,大辊线,False,False,False,False
VIRTUAL-00004,,,,VIRTUAL_PC,PC,1500.0,2.0,810.0,20.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,6,1500.0,2.0,IF钢,820.0,0.0,False,False,False,True,False,False,6,6,6,6,6,大辊线,False,False,False,False
VIRTUAL-00005,,,,VIRTUAL_PC,PC,1500.0,2.0,800.0,20.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,7,1500.0,2.0,PC,810.0,0.0,False,False,False,False,False,False,7,7,7,7,7,大辊线,False,False,False,False
VIRTUAL-00006,,,,VIRTUAL_PC,PC,1500.0,2.0,790.0,20.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,8,1500.0,2.0,PC,800.0,0.0,False,False,False,False,False,False,8,8,8,8,8,大辊线,False,False,False,False
0030082156-000480,0030082156-000480,0030082156-000480,0030082156-000480,HC340/590DP,双相钢,1500.0,2.0,780.0,24.0,53.96,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,9,1500.0,2.0,PC,790.0,0.0,False,False,False,True,False,False,9,9,9,9,9,大辊线,False,False,False,False
0030082156-000330,0030082156-000330,0030082156-000330,0030082156-000330,HC340/590DP,双相钢,1500.0,1.6,780.0,24.0,15.92,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,10,1500.0,2.0,双相钢,780.0,0.0,False,False,False,False,False,False,10,10,10,10,10,大辊线,False,False,False,False
