order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,prev_temp,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,temp_conflict_real,non_pc_direct_switch_real
0020049085-000010,0020049085-000010,0020049085-000010,0020049085-000010,DC01,普碳,1803.0,1.0,810.0,25.5,210.0,2025-10-31,大辊/小辊,dual,1,overdue,0,big_roll,dual,0.2125,0.26842105263157895,0.2125,False,False,1,1,,,,,,False,False,False,False,False,False,1,1,1,1,1,大辊线,False,False,False,False
VIRTUAL-00001,,,,VIRTUAL_PC,PC,1793.2,1.2,802.5,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,2,1803.0,1.0,普碳,810.0,9.799999999999955,False,False,False,True,False,False,2,2,2,2,2,大辊线,False,False,False,False
VIRTUAL-00002,,,,VIRTUAL_PC,PC,1783.5,1.4,795.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,3,1793.2,1.2,PC,802.5,9.700000000000045,False,False,False,False,False,False,3,3,3,3,3,大辊线,False,False,False,False
VIRTUAL-00003,,,,VIRTUAL_PC,PC,1773.8,1.6,787.5,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,4,1783.5,1.4,PC,795.0,9.700000000000045,False,False,False,False,False,False,4,4,4,4,4,大辊线,False,False,False,False
0030084442-000090,0030084442-000090,0030084442-000090,0030084442-000090,HC340/590DP,双相钢,1764.0,1.8,780.0,25.5,60.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,5,1773.8,1.6,PC,787.5,9.799999999999955,False,False,False,True,False,False,5,5,5,5,5,大辊线,False,False,False,False
VIRTUAL-00004,,,,VIRTUAL_PC,PC,1758.5,1.5,790.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,6,1764.0,1.8,双相钢,780.0,5.5,False,False,False,True,False,False,6,6,6,6,6,大辊线,False,False,False,False
0030085385-000020,0030085385-000020,0030085385-000020,0030085385-000020,T280VK,双相钢,1753.0,1.2,800.0,25.5,120.0,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,7,1758.5,1.5,PC,790.0,5.5,False,False,False,True,False,False,7,7,7,7,7,大辊线,False,False,False,False
VIRTUAL-00005,,,,VIRTUAL_PC,PC,1726.0,0.725,830.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,8,1753.0,1.2,双相钢,800.0,27.0,False,False,True,True,False,True,8,8,8,8,8,大辊线,False,False,False,False
0030084081-000030,0030084081-000030,0030084081-000030,0030084081-000030,DC05,IF钢,1720.0,0.65,830.0,25.5,76.66,2025-10-31,大辊,big_only,1,overdue,0,big_roll,big_only,0.25914634146341464,0.32734274711168165,0.25914634146341464,False,False,1,9,1726.0,0.725,PC,830.0,6.0,False,False,False,True,False,False,9,9,9,9,9,大辊线,False,False,False,False
VIRTUAL-00006,,,,VIRTUAL_PC,PC,1710.0,0.825,820.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,10,1720.0,0.65,IF钢,830.0,10.0,False,False,False,True,False,False,10,10,10,10,10,大辊线,False,False,False,False
0020050205-000090,0020050205-000090,0020050205-000090,0020050205-000090,DC01,普碳,1700.0,1.0,810.0,25.5,125.0,2025-10-31,大辊/小辊,dual,1,overdue,0,big_roll,dual,0.2125,0.26842105263157895,0.2125,False,False,1,11,1710.0,0.825,PC,820.0,10.0,False,False,False,True,False,False,11,11,11,11,11,大辊线,False,False,False,False
0020050205-000040,0020050205-000040,0020050205-000040,0020050205-000040,DC01,普碳,1700.0,0.8,810.0,25.5,53.54,2025-10-31,大辊/小辊,dual,1,overdue,0,big_roll,dual,0.2361111111111111,0.2982456140350877,0.2361111111111111,False,False,1,12,1700.0,1.0,普碳,810.0,0.0,False,False,False,False,False,False,12,12,12,12,12,大辊线,False,False,False,False
