order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,prev_temp,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,temp_conflict_real,non_pc_direct_switch_real
0020049084-000040,0020049084-000040,0020049084-000040,0020049084-000040,DC01,普碳,1803.0,0.9,810.0,25.5,120.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2361111111111111,0.2982456140350877,0.2982456140350877,False,False,1,1,,,,,,False,False,False,False,False,False,1,1,1,1,1,小辊线,False,False,False,False
0020049085-000010,0020049085-000010,0020049085-000010,0020049085-000010,DC01,普碳,1803.0,1.0,810.0,25.5,210.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2125,0.26842105263157895,0.26842105263157895,False,False,1,2,1803.0,0.9,普碳,810.0,0.0,False,False,False,False,False,False,2,2,2,2,2,小辊线,False,False,False,False
0020049084-000060,0020049084-000060,0020049084-000060,0020049084-000060,DC01,普碳,1803.0,1.0,810.0,25.5,150.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2125,0.26842105263157895,0.26842105263157895,False,False,1,3,1803.0,1.0,普碳,810.0,0.0,False,False,False,False,False,False,3,3,3,3,3,小辊线,False,False,False,False
0020050205-000090,0020050205-000090,0020050205-000090,0020050205-000090,DC01,普碳,1700.0,1.0,810.0,25.5,125.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2125,0.26842105263157895,0.26842105263157895,False,False,1,4,1803.0,1.0,普碳,810.0,103.0,False,False,False,False,False,False,4,4,4,4,4,小辊线,False,False,False,False
0020050205-000060,0020050205-000060,0020050205-000060,0020050205-000060,DC01,普碳,1596.0,0.95,810.0,24.0,150.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2222222222222222,0.2807017543859649,0.2807017543859649,False,False,1,5,1700.0,1.0,普碳,810.0,104.0,False,False,False,False,False,False,5,5,5,5,5,小辊线,False,False,False,False
0020049982-000020,0020049982-000020,0020049982-000020,0020049982-000020,DC01,普碳,1500.0,0.8,810.0,24.0,192.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.2222222222222222,0.2807017543859649,0.2807017543859649,False,False,1,6,1596.0,0.95,普碳,810.0,96.0,False,False,False,False,False,False,6,6,6,6,6,小辊线,False,False,False,False
VIRTUAL-00001,,,,VIRTUAL_PC,PC,1500.0,0.7,810.0,20.0,0.0,,,,0,slack,3,small_roll,virtual,,,0.0,True,False,1,7,1500.0,0.8,普碳,810.0,0.0,False,False,False,True,False,False,7,7,7,7,7,小辊线,False,False,False,False
0020049965-000070,0020049965-000070,0020049965-000070,0020049965-000070,DC01-D,普碳,1500.0,0.6,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1,overdue,0,small_roll,dual,0.24390243902439027,0.3080872913992298,0.3080872913992298,False,False,1,8,1500.0,0.7,PC,810.0,0.0,False,False,False,True,False,False,8,8,8,8,8,小辊线,False,False,False,False
VIRTUAL-00002,,,,VIRTUAL_PC,PC,1500.0,0.7,810.0,20.0,0.0,,,,0,slack,3,small_roll,virtual,,,0.0,True,False,1,9,1500.0,0.6,普碳,810.0,0.0,False,False,False,True,False,False,9,9,9,9,9,小辊线,False,False,False,False
VIRTUAL-00003,,,,VIRTUAL_PC,PC,1500.0,0.8,810.0,20.0,0.0,,,,0,slack,3,small_roll,virtual,,,0.0,True,False,1,10,1500.0,0.7,PC,810.0,0.0,False,False,False,False,False,False,10,10,10,10,10,小辊线,False,False,False,False
