order_id,source_order_id,parent_order_id,lot_id,grade,steel_group,width,thickness,tons,backlog,due_date,roll_type,line_capability,priority,due_bucket,due_rank,line,line_source,proc_hours_big,proc_hours_small,proc_hours,is_virtual,force_break_before,campaign_id,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,group_switch,non_pc_direct_switch,temp_conflict,line_order_local,global_seq,line_seq,campaign_seq,campaign_real_seq,line_name,width_jump_violation_real,thickness_violation_real,non_pc_direct_switch_real
0030084442-000090#M0291-L01,0030084442-000090,0030084442-000090,0030084442-000090-L01,HC340/590DP,DP,1764.0,1.8,25.5,60.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,1,,,,,False,False,False,False,False,False,1,1,1,1,1,大辊线,False,False,False
VIRTUAL-00001,,,,VIRTUAL_PC,PC,1758.5,1.5,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,2,1764.0,1.8,DP,5.5,False,False,False,True,False,False,2,2,2,2,2,大辊线,False,False,False
0030085385-000020#M0172-L01,0030085385-000020,0030085385-000020,0030085385-000020-L01,T280VK,DP,1753.0,1.2,25.5,120.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2125,0.26842105263157895,0.2125,False,False,1,3,1758.5,1.5,PC,5.5,False,False,False,True,False,False,3,3,3,3,3,大辊线,False,False,False
VIRTUAL-00002,,,,VIRTUAL_PC,PC,1742.5,1.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,4,1753.0,1.2,DP,10.5,False,False,False,True,False,False,4,4,4,4,4,大辊线,False,False,False
0030086469-000010#M0017-L01,0030086469-000010,0030086469-000010,0030086469-000010-L01,HC180Y,BH,1732.0,0.8,25.5,88.0,2025-10-25,大辊,big_only,3,overdue,0,big_roll,big_only,0.2361111111111111,0.2982456140350877,0.2361111111111111,False,False,1,5,1742.5,1.0,PC,10.5,False,False,False,True,False,False,5,5,5,5,5,大辊线,False,False,False
VIRTUAL-00003,,,,VIRTUAL_PC,PC,1658.0,1.0,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,6,1732.0,0.8,BH,74.0,False,False,False,True,False,False,6,6,6,6,6,大辊线,False,False,False
0030084781-000010#M0230-L01,0030084781-000010,0030084781-000010,0030084781-000010-L01,HC340/590DP,DP,1584.0,1.2,24.0,104.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2,0.25263157894736843,0.2,False,False,1,7,1658.0,1.0,PC,74.0,False,False,False,True,False,False,7,7,7,7,7,大辊线,False,False,False
VIRTUAL-00004,,,,VIRTUAL_PC,PC,1583.0,0.95,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,8,1584.0,1.2,DP,1.0,False,False,False,True,False,False,8,8,8,8,8,大辊线,False,False,False
0030085350-000130#M0106-L01,0030085350-000130,0030085350-000130,0030085350-000130-L01,HC180Y,BH,1582.0,0.7,24.0,52.0,2025-10-31,大辊,big_only,3,overdue,0,big_roll,big_only,0.2222222222222222,0.2807017543859649,0.2222222222222222,False,False,1,9,1583.0,0.95,PC,1.0,False,False,False,True,False,False,9,9,9,9,9,大辊线,False,False,False
VIRTUAL-00005,,,,VIRTUAL_PC,PC,1577.8,0.825,0.0,0.0,,,,0,slack,3,big_roll,virtual,,,0.0,True,False,1,10,1582.0,0.7,BH,4.2000000000000455,False,False,False,True,False,False,10,10,10,10,10,大辊线,False,False,False
