order_id,grade,steel_group,width,thickness,temp_max,temp_min,temp_mean,tons,backlog,due_date,due_sort,width_cluster,seq,prev_width,prev_thickness,prev_group,width_jump,thickness_diff,group_switch,narrow_to_wide,width_jump_violation,thickness_violation,temp_overlap_ok,non_pc_direct_switch,campaign_id,campaign_tons
0030085175-000210,T1500HS,热成型钢,1640,1.6,825,740,782.5,24.0,416.0,2025-11-15,2025-11-15,8,1,,,,,,True,False,False,False,True,True,1,839.5
0030081238-000010,T1500HS,热成型钢,1600,1.8,825,740,782.5,24.0,248.22,2025-10-15,2025-10-15,7,2,1640.0,1.6,热成型钢,40.0,0.19999999999999996,False,False,False,False,True,False,1,839.5
0030081238-000050,T1500HS,热成型钢,1600,1.4,825,740,782.5,24.0,104.0,2025-10-15,2025-10-15,7,3,1600.0,1.8,热成型钢,0.0,0.40000000000000013,False,False,False,False,True,False,1,839.5
0030081238-000030,T1500HS,热成型钢,1600,1.4,825,740,782.5,24.0,78.0,2025-10-15,2025-10-15,7,4,1600.0,1.4,热成型钢,0.0,0.0,False,False,False,False,True,False,1,839.5
0030081238-000060,T1500HS,热成型钢,1600,1.2,825,740,782.5,24.0,312.0,2025-10-15,2025-10-15,7,5,1600.0,1.4,热成型钢,0.0,0.19999999999999996,False,False,False,False,True,False,1,839.5
0030081238-000020,T1500HS,热成型钢,1600,1.5,825,740,782.5,24.0,156.0,2025-10-15,2025-10-15,7,6,1600.0,1.2,热成型钢,0.0,0.30000000000000004,False,False,False,False,True,False,1,839.5
0030085399-000070,T1500HS,热成型钢,1599,1.5,825,740,782.5,24.0,104.0,2025-11-15,2025-11-15,7,7,1600.0,1.5,热成型钢,1.0,0.0,False,False,False,False,True,False,1,839.5
0030081403-000060,T1500HS,热成型钢,1599,1.2,825,740,782.5,24.0,104.0,2025-10-15,2025-10-15,7,8,1599.0,1.5,热成型钢,0.0,0.30000000000000004,False,False,False,False,True,False,1,839.5
0030081238-000040,T1500HS,热成型钢,1590,1.4,825,740,782.5,24.0,806.0,2025-10-15,2025-10-15,7,9,1599.0,1.2,热成型钢,9.0,0.19999999999999996,False,False,False,False,True,False,1,839.5
0030085363-000020,T1500HS,热成型钢,1568,1.6,825,740,782.5,24.0,234.0,2025-12-15,2025-12-15,7,10,1590.0,1.4,热成型钢,22.0,0.20000000000000018,False,False,False,False,True,False,1,839.5
