order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,line_source,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0030084442-000090#M291,0030084442-000090,HC340/590DP,DP,1764.0,1.8,840.0,25.5,60.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1260.0,False,1,,,,,False,False,False,False,False,False,1,1,1,大辊线,1
0020050205-000060#M301,0020050205-000060,DC01,PC,1596.0,0.95,810.0,24.0,150.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,2,1042.5,False,2,,,,,False,False,False,False,False,False,2,2,1,大辊线,1
0030085323-000050#M78,0030085323-000050,DC04,IF,1543.0,0.8,830.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,big_only,3,1260.0,False,3,,,,,False,False,False,False,False,False,3,3,1,大辊线,1
0030083118-000080#M564,0030083118-000080,DC05,IF,1500.0,0.81,835.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,big_only,3,1260.0,False,4,1543.0,0.8,IF,43.0,False,False,False,False,False,False,4,4,2,大辊线,2
0030082156-000080#M656,0030082156-000080,HC340/590DP,DP,1450.0,1.0,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,4,1042.5,False,5,,,,,False,False,False,False,False,False,5,5,1,大辊线,1
0020050208-000030#M265,0020050208-000030,DC01,PC,1500.0,1.35,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,5,1260.0,False,6,,,,,False,False,False,False,False,False,6,6,1,大辊线,1
0020050205-000130#M309,0020050205-000130,DC01,PC,1500.0,1.2,810.0,24.0,240.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,5,1260.0,False,7,1500.0,1.35,PC,0.0,False,False,False,False,False,False,7,7,2,大辊线,2
0020050208-000040#M273,0020050208-000040,DC01,PC,1500.0,1.4,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,5,1260.0,False,8,1500.0,1.2,PC,0.0,False,False,False,False,False,False,8,8,3,大辊线,3
0030083518-000530#M500,0030083518-000530,T280VK,DP,1500.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,9,,,,,False,False,False,False,False,False,9,9,1,大辊线,1
0030082964-000050#M576,0030082964-000050,HC340/590DP,DP,1500.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,10,1500.0,1.2,DP,0.0,False,False,False,False,False,False,10,10,2,大辊线,2
0030082156-000220#M680,0030082156-000220,HC340/590DP,DP,1500.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,11,1500.0,1.2,DP,0.0,False,False,False,False,False,False,11,11,3,大辊线,3
0030082964-000070#M579,0030082964-000070,HC340/590DP,DP,1500.0,1.4,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,12,1500.0,1.2,DP,0.0,False,False,False,False,False,False,12,12,4,大辊线,4
0030082964-000140#M584,0030082964-000140,HC340/590DP,DP,1500.0,1.6,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,13,1500.0,1.4,DP,0.0,False,False,False,False,False,False,13,13,5,大辊线,5
0030084750-000070#M202,0030084750-000070,T280VK,DP,1540.0,2.0,840.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,14,1500.0,1.6,DP,-40.0,True,False,False,False,False,False,14,14,6,大辊线,6
0030082156-000480#M687,0030082156-000480,HC340/590DP,DP,1500.0,2.0,840.0,24.0,53.96,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,15,1540.0,2.0,DP,40.0,False,False,False,False,False,False,15,15,7,大辊线,7
0030082964-000120#M587,0030082964-000120,HC340/590DP,DP,1500.0,1.5,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,6,1260.0,False,16,1500.0,2.0,DP,0.0,False,False,False,False,False,False,16,16,8,大辊线,8
0020049966-000020#M461,0020049966-000020,DC01-D,PC,1500.0,1.1,815.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,big_roll,2025-10-31,dual,7,1260.0,False,17,,,,,False,False,False,False,False,False,17,17,1,大辊线,1
0020049964-000010#M481,0020049964-000010,DC01-D,PC,1500.0,1.0,815.0,24.0,53.36,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,big_roll,2025-10-31,dual,7,1260.0,False,18,1500.0,1.1,PC,0.0,False,False,False,False,False,False,18,18,2,大辊线,2
0030083932-000020#M418,0030083932-000020,DC06,IF,1380.0,0.8,840.0,24.0,72.32,2025-10-31,大辊,big_only,2.0,840.0,840.0,big_roll,2025-10-31,big_only,8,1042.5,False,19,,,,,False,False,False,False,False,False,19,19,1,大辊线,1
0030085651-000030#M72,0030085651-000030,HC340/590DP,DP,1400.0,1.2,840.0,24.0,88.0,2025-10-25,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-25,big_only,9,1042.5,False,20,,,,,False,False,False,False,False,False,20,20,1,大辊线,1
0030085350-000150#M164,0030085350-000150,HC340/590DP,DP,1400.0,1.2,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,10,1260.0,False,21,,,,,False,False,False,False,False,False,21,21,1,大辊线,1
