order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,line_source,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0030085385-000020#M172,0030085385-000020,T280VK,DP,1753.0,1.2,840.0,25.5,120.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,989.5,False,1,,,,,False,False,False,False,False,False,1,1,1,大辊线,1
0030084750-000020#M212,0030084750-000020,HC340/590DP,DP,1434.0,1.6,840.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,2,989.5,False,2,,,,,False,False,False,False,False,False,2,2,1,大辊线,1
VIRTUAL-00001,,VIRTUAL_PC,普碳,1500.0,0.7,810.0,0.0,,,,,,790.0,830.0,big_roll,,,3,989.5,True,3,,,,,False,False,False,False,False,False,3,3,1,大辊线,0
0020049982-000020#M447,0020049982-000020,DC01,PC,1500.0,0.8,810.0,24.0,192.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,3,989.5,False,4,1500.0,0.7,普碳,0.0,False,False,False,False,True,False,4,4,2,大辊线,1
0020049981-000050#M441,0020049981-000050,DC01,PC,1500.0,1.0,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,3,989.5,False,5,1500.0,0.8,PC,0.0,False,False,False,False,False,False,5,5,3,大辊线,2
0020049983-000060#M422,0020049983-000060,DC01,PC,1500.0,0.9,810.0,24.0,121.98,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,3,989.5,False,6,1500.0,1.0,PC,0.0,False,False,False,False,False,False,6,6,4,大辊线,3
0020049983-000080#M429,0020049983-000080,DC01,PC,1500.0,1.1,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,3,989.5,False,7,1500.0,0.9,PC,0.0,False,False,False,False,False,False,7,7,5,大辊线,4
0020050208-000040#M273,0020050208-000040,DC01,PC,1500.0,1.4,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,3,989.5,False,8,1500.0,1.1,PC,0.0,False,False,False,False,False,False,8,8,6,大辊线,5
0020050208-000010#M272,0020050208-000010,DC01,PC,1500.0,1.0,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,3,989.5,False,9,1500.0,1.4,PC,0.0,False,False,False,False,False,False,9,9,7,大辊线,6
0020050205-000130#M309,0020050205-000130,DC01,PC,1500.0,1.2,810.0,24.0,240.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,3,989.5,False,10,1500.0,1.0,PC,0.0,False,False,False,False,False,False,10,10,8,大辊线,7
