order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,line_source,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0030085385-000020#M172,0030085385-000020,T280VK,DP,1753.0,1.2,840.0,25.5,120.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1002.5,False,1,,,,,False,False,False,False,False,False,1,1,1,???,1
0020050205-000090#M304,0020050205-000090,DC01,PC,1700.0,1.0,810.0,25.5,125.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,1,1002.5,False,3,1753.0,1.2,DP,53.0,False,False,False,False,True,True,2,2,2,???,2
0030085350-000080#M85,0030085350-000080,DC05,IF,1599.0,0.7,835.0,24.0,104.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,big_only,1,1002.5,False,5,1700.0,1.0,PC,101.0,False,False,True,False,True,True,3,3,3,???,3
0020050205-000060#M301,0020050205-000060,DC01,PC,1596.0,0.95,810.0,24.0,150.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,1,1002.5,False,7,1599.0,0.7,IF,3.0,False,False,True,False,True,True,4,4,4,???,4
0030084781-000010#M230,0030084781-000010,HC340/590DP,DP,1584.0,1.2,840.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1002.5,False,8,1596.0,0.95,PC,12.0,False,False,False,False,True,True,5,5,5,???,5
0030084750-000070#M202,0030084750-000070,T280VK,DP,1540.0,2.0,840.0,24.0,104.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1002.5,False,10,1584.0,1.2,DP,44.0,False,False,True,False,False,False,6,6,6,???,6
0020050208-000040#M273,0020050208-000040,DC01,PC,1500.0,1.4,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,1,1002.5,False,12,1540.0,2.0,DP,40.0,False,False,True,False,True,True,7,7,7,???,7
0020049964-000100#M477,0020049964-000100,DC01-D,PC,1500.0,1.8,815.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,big_roll,2025-10-31,dual,1,1002.5,False,13,1500.0,1.4,PC,0.0,False,False,False,False,False,False,8,8,8,???,8
0030082943-000020#M591,0030082943-000020,DC05,IF,1500.0,1.45,835.0,24.0,78.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,big_only,1,1002.5,False,14,1500.0,1.8,PC,0.0,False,False,False,False,True,True,9,9,9,???,9
0020049965-000070#M449,0020049965-000070,DC01-D,PC,1500.0,0.6,815.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,big_roll,2025-10-31,dual,1,1002.5,False,16,1500.0,1.45,IF,0.0,False,False,True,False,True,True,10,10,10,???,10
VIRTUAL-00001,,VIRTUAL_PC,普碳,1500.0,0.7,810.0,0.0,,,,,,790.0,830.0,big_roll,,,1,1002.5,True,17,1500.0,0.6,PC,0.0,False,False,False,False,True,False,11,11,11,???,0
0020049982-000020#M447,0020049982-000020,DC01,PC,1500.0,0.8,810.0,24.0,192.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,1,1002.5,False,18,1500.0,0.7,普碳,0.0,False,False,False,False,True,False,12,12,12,???,11
0020049981-000050#M441,0020049981-000050,DC01,PC,1500.0,1.0,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,1,1002.5,False,19,1500.0,0.8,PC,0.0,False,False,False,False,False,False,13,13,13,???,12
0020049983-000080#M429,0020049983-000080,DC01,PC,1500.0,1.1,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,1,1002.5,False,20,1500.0,1.0,PC,0.0,False,False,False,False,False,False,14,14,14,???,13
0020049983-000060#M422,0020049983-000060,DC01,PC,1500.0,0.9,810.0,24.0,121.98,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,1,1002.5,False,21,1500.0,1.1,PC,0.0,False,False,False,False,False,False,15,15,15,???,14
0020050208-000010#M272,0020050208-000010,DC01,PC,1500.0,1.0,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,1,1002.5,False,22,1500.0,0.9,PC,0.0,False,False,False,False,False,False,16,16,16,???,15
0030085176-000010#M110,0030085176-000010,HC180Y,BH,1440.0,0.7,835.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,835.0,835.0,big_roll,2025-10-31,big_only,1,1002.5,False,24,1500.0,1.0,PC,60.0,False,False,True,False,True,True,17,17,17,???,16
0030085350-000150#M164,0030085350-000150,HC340/590DP,DP,1400.0,1.2,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1002.5,False,26,1440.0,0.7,BH,40.0,False,False,True,False,True,True,18,18,18,???,17
0030085651-000030#M72,0030085651-000030,HC340/590DP,DP,1400.0,1.2,840.0,24.0,88.0,2025-10-25,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-25,big_only,1,1002.5,False,27,1400.0,1.2,DP,0.0,False,False,False,False,False,False,19,19,19,???,18
0030085341-000010#M113,0030085341-000010,DC05,IF,1374.0,0.6,835.0,24.0,182.0,2025-11-30,大辊,big_only,2.0,835.0,835.0,big_roll,2025-11-30,big_only,1,1002.5,False,29,1400.0,1.2,DP,26.0,False,False,True,False,True,True,20,20,20,???,19
0030086415-000010#M13,0030086415-000010,HC180Y,BH,1320.0,1.15,835.0,22.5,100.0,2025-11-30,大辊,big_only,3.0,835.0,835.0,big_roll,2025-11-30,big_only,1,1002.5,False,31,1374.0,0.6,IF,54.0,False,False,True,False,True,True,21,21,21,???,20
0030082156-000460#M632,0030082156-000460,HC340/590DP,DP,1400.0,2.0,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1002.5,False,33,1320.0,1.15,BH,-80.0,True,False,True,False,True,True,22,22,22,???,21
0030082156-000450#M653,0030082156-000450,HC340/590DP,DP,1385.0,2.0,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1002.5,False,34,1400.0,2.0,DP,15.0,False,False,False,False,False,False,23,23,23,???,22
0030082156-000440#M650,0030082156-000440,HC340/590DP,DP,1355.0,2.0,840.0,24.0,78.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1002.5,False,35,1385.0,2.0,DP,30.0,False,False,False,False,False,False,24,24,24,???,23
0020049982-000040#M442,0020049982-000040,DC01,PC,1250.0,1.8,810.0,21.5,195.7,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,dual,1,1002.5,False,36,1355.0,2.0,DP,105.0,False,False,False,False,True,True,25,25,25,???,24
0020049967-000010#M465,0020049967-000010,DC01-D,PC,1250.0,1.5,815.0,21.5,144.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,big_roll,2025-10-31,dual,1,1002.5,False,37,1250.0,1.8,PC,0.0,False,False,False,False,False,False,26,26,26,???,25
0030082156-000380#M654,0030082156-000380,HC340/590DP,DP,1185.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1002.5,False,39,1250.0,1.5,PC,65.0,False,False,True,False,True,True,27,27,27,???,26
0030082156-000370#M667,0030082156-000370,HC340/590DP,DP,1170.0,2.0,840.0,21.5,96.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1002.5,False,40,1185.0,2.0,DP,15.0,False,False,False,False,False,False,28,28,28,???,27
0030082156-000360#M688,0030082156-000360,HC340/590DP,DP,1150.0,2.0,840.0,21.5,88.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,big_only,1,1002.5,False,41,1170.0,2.0,DP,20.0,False,False,False,False,False,False,29,29,29,???,28
0030084050-000140#M383,0030084050-000140,DC04,IF,1200.0,2.0,830.0,21.5,96.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,big_only,1,1002.5,False,43,1150.0,2.0,DP,-50.0,True,False,False,False,True,True,30,30,30,???,29
