order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,line_source,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0020049965-000070#M449,0020049965-000070,DC01-D,PC,1500.0,0.6,815.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,1,,,,,False,False,False,False,False,False,1,1,1,小辊线,1
VIRTUAL-00001,,VIRTUAL_PC,普碳,1500.0,0.7,810.0,0.0,,,,,,790.0,830.0,small_roll,,,1,888.0,True,2,1500.0,0.6,PC,0.0,False,False,False,False,True,False,2,2,2,小辊线,0
0020049982-000020#M447,0020049982-000020,DC01,PC,1500.0,0.8,810.0,24.0,192.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,3,1500.0,0.7,普碳,0.0,False,False,False,False,True,False,3,3,3,小辊线,2
0020049983-000060#M422,0020049983-000060,DC01,PC,1500.0,0.9,810.0,24.0,121.98,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,4,1500.0,0.8,PC,0.0,False,False,False,False,False,False,4,4,4,小辊线,3
0020050276-000040#M254,0020050276-000040,DC01,PC,1500.0,1.0,810.0,24.0,53.48,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,5,1500.0,0.9,PC,0.0,False,False,False,False,False,False,5,5,5,小辊线,4
0020050276-000050#M262,0020050276-000050,DC01,PC,1500.0,1.2,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,6,1500.0,1.0,PC,0.0,False,False,False,False,False,False,6,6,6,小辊线,5
0020049981-000050#M441,0020049981-000050,DC01,PC,1500.0,1.0,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,7,1500.0,1.2,PC,0.0,False,False,False,False,False,False,7,7,7,小辊线,6
0020049983-000080#M429,0020049983-000080,DC01,PC,1500.0,1.1,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,8,1500.0,1.0,PC,0.0,False,False,False,False,False,False,8,8,8,小辊线,7
0020050208-000010#M272,0020050208-000010,DC01,PC,1500.0,1.0,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,9,1500.0,1.1,PC,0.0,False,False,False,False,False,False,9,9,9,小辊线,8
0020050208-000020#M275,0020050208-000020,DC01,PC,1500.0,1.2,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,10,1500.0,1.0,PC,0.0,False,False,False,False,False,False,10,10,10,小辊线,9
0020049967-000040#M466,0020049967-000040,DC01-D,PC,1500.0,1.2,815.0,24.0,156.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,11,1500.0,1.2,PC,0.0,False,False,False,False,False,False,11,11,11,小辊线,10
0020049965-000050#M458,0020049965-000050,DC01-D,PC,1500.0,1.2,815.0,24.0,130.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,12,1500.0,1.2,PC,0.0,False,False,False,False,False,False,12,12,12,小辊线,11
0020049966-000080#M455,0020049966-000080,DC01-D,PC,1500.0,1.5,815.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,13,1500.0,1.2,PC,0.0,False,False,False,False,False,False,13,13,13,小辊线,12
0020049964-000110#M450,0020049964-000110,DC01-D,PC,1500.0,1.9,815.0,24.0,53.72,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,14,1500.0,1.5,PC,0.0,False,False,False,False,False,False,14,14,14,小辊线,13
0020049964-000100#M477,0020049964-000100,DC01-D,PC,1500.0,1.8,815.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,15,1500.0,1.9,PC,0.0,False,False,False,False,False,False,15,15,15,小辊线,14
0020049966-000050#M462,0020049966-000050,DC01-D,PC,1500.0,1.35,815.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,16,1500.0,1.8,PC,0.0,False,False,False,False,False,False,16,16,16,小辊线,15
0020049966-000070#M463,0020049966-000070,DC01-D,PC,1500.0,1.45,815.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,17,1500.0,1.35,PC,0.0,False,False,False,False,False,False,17,17,17,小辊线,16
0020049964-000090#M472,0020049964-000090,DC01-D,PC,1500.0,1.75,815.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,18,1500.0,1.45,PC,0.0,False,False,False,False,False,False,18,18,18,小辊线,17
0020049966-000090#M475,0020049966-000090,DC01-D,PC,1500.0,1.8,815.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,19,1500.0,1.75,PC,0.0,False,False,False,False,False,False,19,19,19,小辊线,18
0020049964-000070#M464,0020049964-000070,DC01-D,PC,1500.0,1.5,815.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,20,1500.0,1.8,PC,0.0,False,False,False,False,False,False,20,20,20,小辊线,19
0020049964-000040#M476,0020049964-000040,DC01-D,PC,1500.0,1.2,815.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,21,1500.0,1.5,PC,0.0,False,False,False,False,False,False,21,21,21,小辊线,20
0020049966-000040#M471,0020049966-000040,DC01-D,PC,1500.0,1.2,815.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,22,1500.0,1.2,PC,0.0,False,False,False,False,False,False,22,22,22,小辊线,21
0020049964-000060#M452,0020049964-000060,DC01-D,PC,1500.0,1.4,815.0,24.0,156.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,23,1500.0,1.2,PC,0.0,False,False,False,False,False,False,23,23,23,小辊线,22
0020049966-000060#M467,0020049966-000060,DC01-D,PC,1500.0,1.4,815.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,24,1500.0,1.4,PC,0.0,False,False,False,False,False,False,24,24,24,小辊线,23
0020049964-000050#M474,0020049964-000050,DC01-D,PC,1500.0,1.35,815.0,24.0,131.62,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,dual,1,888.0,False,25,1500.0,1.4,PC,0.0,False,False,False,False,False,False,25,25,25,小辊线,24
0020050276-000060#M263,0020050276-000060,DC01,PC,1500.0,1.5,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,26,1500.0,1.35,PC,0.0,False,False,False,False,False,False,26,26,26,小辊线,25
0020050276-000070#M264,0020050276-000070,DC01,PC,1500.0,1.8,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,27,1500.0,1.5,PC,0.0,False,False,False,False,False,False,27,27,27,小辊线,26
0020050208-000050#M266,0020050208-000050,DC01,PC,1500.0,1.5,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,28,1500.0,1.8,PC,0.0,False,False,False,False,False,False,28,28,28,小辊线,27
0020050208-000080#M267,0020050208-000080,DC01,PC,1500.0,1.95,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,29,1500.0,1.5,PC,0.0,False,False,False,False,False,False,29,29,29,小辊线,28
0020049981-000070#M438,0020049981-000070,DC01,PC,1500.0,2.0,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,30,1500.0,1.95,PC,0.0,False,False,False,False,False,False,30,30,30,小辊线,29
0020050276-000030#M260,0020050276-000030,DC01,PC,1500.0,2.0,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,31,1500.0,2.0,PC,0.0,False,False,False,False,False,False,31,31,31,小辊线,30
0020050276-000020#M256,0020050276-000020,DC01,PC,1500.0,1.8,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,32,1500.0,2.0,PC,0.0,False,False,False,False,False,False,32,32,32,小辊线,31
0020050208-000060#M270,0020050208-000060,DC01,PC,1500.0,1.8,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,33,1500.0,1.8,PC,0.0,False,False,False,False,False,False,33,33,33,小辊线,32
0020050276-000080#M257,0020050276-000080,DC01,PC,1500.0,2.0,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,34,1500.0,1.8,PC,0.0,False,False,False,False,False,False,34,34,34,小辊线,33
0020050208-000090#M274,0020050208-000090,DC01,PC,1500.0,2.0,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,35,1500.0,2.0,PC,0.0,False,False,False,False,False,False,35,35,35,小辊线,34
0020049983-000130#M424,0020049983-000130,DC01,PC,1500.0,1.5,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,36,1500.0,2.0,PC,0.0,False,False,False,False,False,False,36,36,36,小辊线,35
0020049981-000040#M448,0020049981-000040,DC01,PC,1500.0,1.5,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,37,1500.0,1.5,PC,0.0,False,False,False,False,False,False,37,37,37,小辊线,36
0020049981-000020#M440,0020049981-000020,DC01,PC,1500.0,1.2,810.0,24.0,104.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,dual,1,888.0,False,38,1500.0,1.5,PC,0.0,False,False,False,False,False,False,38,38,38,小辊线,37
