order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0030084442-000090#M291,0030084442-000090,HC340/590DP,DP,1764.0,1.8,840.0,25.5,60.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,1,,,,,False,False,False,False,False,False,1,1,1,大轧线,1
0030086469-000010#M17,0030086469-000010,HC180Y,BH,1732.0,0.8,835.0,25.5,88.0,2025-10-25,大辊,big_only,3.0,835.0,835.0,big_roll,2025-10-25,1,1327.0,False,3,1764.0,1.8,DP,32.0,False,False,True,False,True,True,2,2,2,大轧线,2
0030085350-000080#M85,0030085350-000080,DC05,IF,1599.0,0.7,835.0,24.0,104.0,2025-10-31,大辊,big_only,2.0,835.0,835.0,big_roll,2025-10-31,1,1327.0,False,5,1732.0,0.8,BH,133.0,False,False,False,False,True,True,3,3,3,大轧线,3
0030085323-000050#M78,0030085323-000050,DC04,IF,1543.0,0.8,830.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,1,1327.0,False,7,1599.0,0.7,IF,56.0,False,False,False,False,False,False,4,4,4,大轧线,4
0030082156-000090#M668,0030082156-000090,HC340/590DP,DP,1505.0,1.0,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,9,1543.0,0.8,IF,38.0,False,False,False,False,True,True,5,5,5,大轧线,5
0030085644-000040#M62,0030085644-000040,T280VK,DP,1500.0,0.8,840.0,24.0,88.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,10,1505.0,1.0,DP,5.0,False,False,False,False,False,False,6,6,6,大轧线,6
0020049981-000050#M441,0020049981-000050,DC01,PC,1500.0,1.0,810.0,24.0,78.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,1,1327.0,False,12,1500.0,0.8,DP,0.0,False,False,False,False,True,True,7,7,7,大轧线,7
0020050276-000080#M257,0020050276-000080,DC01,PC,1500.0,2.0,810.0,24.0,52.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,big_roll,2025-10-31,1,1327.0,False,14,1500.0,1.0,PC,0.0,False,False,True,False,False,False,8,8,8,大轧线,8
0030084050-000160#M340,0030084050-000160,DC04,IF,1500.0,2.0,830.0,24.0,52.0,2025-10-31,大辊,big_only,2.0,830.0,830.0,big_roll,2025-10-31,1,1327.0,False,15,1500.0,2.0,PC,0.0,False,False,False,False,True,True,9,9,9,大轧线,9
0030082156-000230#M659,0030082156-000230,HC340/590DP,DP,1565.0,1.2,840.0,24.0,52.0,2025-10-31,大辊,big_only,3.0,840.0,840.0,big_roll,2025-10-31,1,1327.0,False,17,1500.0,2.0,IF,-65.0,True,False,True,False,True,True,10,10,10,大轧线,10
