order_id,source_order_id,grade,steel_group,width,thickness,temp_mean,tons,backlog,due_date,roll_type,line_capability,priority,temp_min,temp_max,line,due_sort,campaign_id,campaign_tons,is_virtual,seq,prev_width,prev_thickness,prev_group,width_drop,narrow_to_wide,width_jump_violation,thickness_violation,temp_conflict,group_switch,non_pc_direct_switch,global_seq,line_seq,campaign_seq,line_name,campaign_real_seq
0020049085-000010#M701,0020049085-000010,DC01,PC,1803.0,1.0,810.0,25.5,210.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,702.0,False,1,,,,,False,False,False,False,False,False,1,1,1,小轧线,1
0020049084-000060#M698,0020049084-000060,DC01,PC,1803.0,1.0,810.0,25.5,150.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,702.0,False,2,1803.0,1.0,PC,0.0,False,False,False,False,False,False,2,2,2,小轧线,2
0020049084-000040#M700,0020049084-000040,DC01,PC,1803.0,0.9,810.0,25.5,120.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,702.0,False,3,1803.0,1.0,PC,0.0,False,False,False,False,False,False,3,3,3,小轧线,3
0020050205-000090#M304,0020050205-000090,DC01,PC,1700.0,1.0,810.0,25.5,125.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,702.0,False,4,1803.0,0.9,PC,103.0,False,False,False,False,False,False,4,4,4,小轧线,4
0030084012-000010#M280,0030084012-000010,DC01,PC,1680.0,0.8,810.0,24.0,130.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,702.0,False,5,1700.0,1.0,PC,20.0,False,False,False,False,False,False,5,5,5,小轧线,5
0030085175-000210#M139,0030085175-000210,T1500HS,HOTFORM,1640.0,1.6,840.0,24.0,416.0,2025-11-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-11-15,1,702.0,False,6,1680.0,0.8,PC,40.0,False,False,True,False,True,True,6,6,6,小轧线,6
0030081238-000010#M705,0030081238-000010,T1500HS,HOTFORM,1600.0,1.8,840.0,24.0,248.22,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,702.0,False,7,1640.0,1.6,HOTFORM,40.0,False,False,False,False,False,False,7,7,7,小轧线,7
0030081238-000020#M706,0030081238-000020,T1500HS,HOTFORM,1600.0,1.5,840.0,24.0,156.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,702.0,False,8,1600.0,1.8,HOTFORM,0.0,False,False,False,False,False,False,8,8,8,小轧线,8
0030081238-000050#M708,0030081238-000050,T1500HS,HOTFORM,1600.0,1.4,840.0,24.0,104.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,702.0,False,9,1600.0,1.5,HOTFORM,0.0,False,False,False,False,False,False,9,9,9,小轧线,9
0030081238-000060#M709,0030081238-000060,T1500HS,HOTFORM,1600.0,1.2,840.0,24.0,312.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,702.0,False,10,1600.0,1.4,HOTFORM,0.0,False,False,False,False,False,False,10,10,10,小轧线,10
0020050205-000030#M302,0020050205-000030,DC01,PC,1600.0,0.8,810.0,24.0,125.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,702.0,False,11,1600.0,1.2,HOTFORM,0.0,False,False,True,False,True,True,11,11,11,小轧线,11
0030081403-000060#M703,0030081403-000060,T1500HS,HOTFORM,1599.0,1.2,840.0,24.0,104.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,702.0,False,12,1600.0,0.8,PC,1.0,False,False,True,False,True,True,12,12,12,小轧线,12
0020050205-000060#M301,0020050205-000060,DC01,PC,1596.0,0.95,810.0,24.0,150.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,702.0,False,13,1599.0,1.2,HOTFORM,3.0,False,False,False,False,True,True,13,13,13,小轧线,13
0030081238-000040#M710,0030081238-000040,T1500HS,HOTFORM,1590.0,1.4,840.0,24.0,806.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,702.0,False,14,1596.0,0.95,PC,6.0,False,False,True,False,True,True,14,14,14,小轧线,14
0030085363-000020#M119,0030085363-000020,T1500HS,HOTFORM,1568.0,1.6,840.0,24.0,234.0,2025-12-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-12-15,1,702.0,False,15,1590.0,1.4,HOTFORM,22.0,False,False,False,False,False,False,15,15,15,小轧线,15
0030085346-000010#M116,0030085346-000010,T1500HS,HOTFORM,1563.0,1.4,840.0,24.0,676.0,2025-11-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-11-15,1,702.0,False,16,1568.0,1.6,HOTFORM,5.0,False,False,False,False,False,False,16,16,16,小轧线,16
0030081403-000040#M702,0030081403-000040,T1500HS,HOTFORM,1558.0,1.2,840.0,24.0,104.0,2025-10-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-10-15,1,702.0,False,17,1563.0,1.4,HOTFORM,5.0,False,False,False,False,False,False,17,17,17,小轧线,17
0030083730-000010#M460,0030083730-000010,T1500HS,HOTFORM,1540.0,1.4,840.0,24.0,400.0,2025-11-15,5.0小辊,small_only,3.0,840.0,840.0,small_roll,2025-11-15,1,702.0,False,18,1558.0,1.2,HOTFORM,18.0,False,False,False,False,False,False,18,18,18,小轧线,18
0020049964-000100#M477,0020049964-000100,DC01-D,PC,1500.0,1.8,815.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,1,702.0,False,19,1540.0,1.4,HOTFORM,40.0,False,False,False,False,True,True,19,19,19,小轧线,19
0020049964-000090#M472,0020049964-000090,DC01-D,PC,1500.0,1.75,815.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,1,702.0,False,20,1500.0,1.8,PC,0.0,False,False,False,False,False,False,20,20,20,小轧线,20
0020049964-000070#M464,0020049964-000070,DC01-D,PC,1500.0,1.5,815.0,24.0,182.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,1,702.0,False,21,1500.0,1.75,PC,0.0,False,False,False,False,False,False,21,21,21,小轧线,21
0020049276-000020#M616,0020049276-000020,SPCC,PC,1500.0,1.43,805.0,24.0,105.44,2025-10-31,大辊/小辊,dual,1.0,805.0,805.0,small_roll,2025-10-31,1,702.0,False,22,1500.0,1.5,PC,0.0,False,False,False,False,False,False,22,22,22,小轧线,22
0020049964-000060#M452,0020049964-000060,DC01-D,PC,1500.0,1.4,815.0,24.0,156.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,1,702.0,False,23,1500.0,1.43,PC,0.0,False,False,False,False,False,False,23,23,23,小轧线,23
0020049964-000050#M474,0020049964-000050,DC01-D,PC,1500.0,1.35,815.0,24.0,131.62,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,1,702.0,False,24,1500.0,1.4,PC,0.0,False,False,False,False,False,False,24,24,24,小轧线,24
0020050205-000130#M309,0020050205-000130,DC01,PC,1500.0,1.2,810.0,24.0,240.0,2025-10-31,大辊/小辊,dual,1.0,810.0,810.0,small_roll,2025-10-31,1,702.0,False,25,1500.0,1.35,PC,0.0,False,False,False,False,False,False,25,25,25,小轧线,25
0020049967-000040#M466,0020049967-000040,DC01-D,PC,1500.0,1.2,815.0,24.0,156.0,2025-10-31,大辊/小辊,dual,1.0,815.0,815.0,small_roll,2025-10-31,1,702.0,False,26,1500.0,1.2,PC,0.0,False,False,False,False,False,False,26,26,26,小轧线,26
